"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,1,0,4,0
0,0,0,0,0,0,0,0,0,4,1,0,3,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,6,4,4,0,1
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,2,1,1,1,0
0,0,0,0,0,0,0,0,0,2,6,7,1,0,0
0,0,0,0,0,0,0,0,0,1,2,8,15,11,13
0,0,0,0,0,0,0,0,0,6,2,0,0,1,0
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,4,17,22,17,13,16
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,10,3,1,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,2,4,3
0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
0,0,0,0,0,0,0,0,0,1,1,3,0,0,1
0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,15,7,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,1,4,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,14,12,20,3
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,2,4,3,3,5
0,0,0,0,0,0,0,0,0,1,0,2,0,1,1
0,0,0,0,0,0,0,0,0,2,1,1,3,0,0
0,0,0,0,0,0,0,0,0,3,2,1,1,0,0
0,0,0,0,0,0,0,0,0,1,0,18,14,16,15
0,0,0,0,0,0,0,0,0,3,1,2,4,1,0
0,0,0,0,0,0,0,0,0,3,0,4,0,1,0
0,0,0,0,0,0,0,0,0,4,1,1,7,2,0
0,0,0,0,0,0,0,0,0,3,7,2,19,12,7
0,0,0,0,0,0,0,0,0,1,1,7,7,3,4
0,0,0,0,0,0,0,0,0,1,0,0,2,1,1
0,0,0,0,0,0,0,0,0,2,2,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,4,11,5,0,0
0,0,0,0,0,0,0,0,0,5,0,3,1,2,1
0,0,0,0,0,0,0,0,0,8,3,3,7,8,25
0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,3,2,3,1,1,0
0,0,0,0,0,0,0,0,0,1,0,2,13,2,7
0,0,0,0,0,0,0,0,0,1,6,4,3,20,5
0,0,0,0,0,0,0,0,0,1,0,1,12,15,16
